Radios              Ck
 0.020    -0.002 - i 0.020
 0.013    -0.001 - i 0.013
 0.009     0.001 - i 0.008
 0.013    -0.007 - i 0.011
 0.008     0.007 - i 0.004
 0.015     0.015 + i 0.002
 0.017    -0.015 + i 0.008
 0.009    -0.008 + i 0.004
 0.014    -0.010 + i 0.010
 0.009    -0.003 + i 0.009
 0.006     0.005 + i 0.004
 0.017     0.017 - i 0.001
 0.013     0.002 - i 0.013
 0.021     0.021 + i 0.002
 0.004    -0.001 + i 0.004
 0.007     0.002 + i 0.007
 0.020     0.019 + i 0.004
 0.011     0.008 + i 0.007
 0.014     0.001 + i 0.014
 0.025    -0.002 + i 0.025
 0.015     0.001 + i 0.015
 0.032     0.021 + i 0.024
 0.031     0.025 + i 0.018
 0.010     0.007 + i 0.006
 0.003    -0.003 - i 0.002
 0.019    -0.001 - i 0.019
 0.010    -0.010 - i 0.004
 0.012    -0.011 + i 0.004
 0.016     0.015 + i 0.002
 0.002     0.001 - i 0.002
 0.009     0.008 - i 0.002
 0.005    -0.005 - i 0.000
 0.012    -0.007 + i 0.010
 0.014     0.005 + i 0.013
 0.017     0.014 + i 0.011
 0.020    -0.019 - i 0.006
 0.009     0.001 - i 0.009
 0.018    -0.010 - i 0.015
 0.009    -0.008 - i 0.003
 0.020    -0.018 - i 0.008
 0.036    -0.035 - i 0.011
 0.029    -0.024 - i 0.018
 0.016    -0.015 - i 0.005
 0.008     0.007 - i 0.003
 0.015    -0.015 - i 0.000
 0.014     0.013 - i 0.006
 0.019    -0.007 - i 0.018
 0.003    -0.002 + i 0.002
 0.016     0.001 - i 0.015
 0.002     0.001 - i 0.002
 0.013     0.013 + i 0.002
 0.014     0.011 - i 0.008
 0.014     0.014 - i 0.001
 0.013    -0.001 - i 0.013
 0.015     0.012 - i 0.008
 0.011    -0.001 - i 0.011
 0.006     0.005 + i 0.003
 0.023     0.015 - i 0.017
 0.011     0.010 + i 0.003
 0.019     0.015 - i 0.011
 0.015     0.010 - i 0.012
 0.022    -0.002 - i 0.022
 0.030     0.026 - i 0.015
 0.032     0.027 - i 0.018
 0.018     0.015 + i 0.010
 0.007     0.000 - i 0.007
 0.021    -0.021 - i 0.002
 0.019    -0.014 + i 0.012
 0.033    -0.005 + i 0.033
 0.005     0.004 + i 0.003
 0.007     0.000 + i 0.007
 0.006    -0.005 - i 0.004
 0.029    -0.024 + i 0.016
 0.027    -0.015 + i 0.023
 0.004     0.003 + i 0.001
 0.028     0.027 - i 0.006
 0.016     0.002 + i 0.015
 0.020     0.020 + i 0.004
 0.022     0.011 + i 0.020
 0.027     0.017 + i 0.021
 0.008    -0.008 + i 0.001
 0.030    -0.027 + i 0.013
 0.013    -0.012 + i 0.005
 0.009     0.009 + i 0.002
 0.020     0.014 + i 0.015
 0.008    -0.007 + i 0.004
 0.005     0.005 - i 0.002
 0.006    -0.006 - i 0.003
 0.004     0.004 - i 0.001
 0.039    -0.014 - i 0.037
 0.018    -0.011 - i 0.015
 0.025    -0.004 - i 0.025
 0.002    -0.001 + i 0.001
 0.010     0.003 + i 0.010
 0.007    -0.004 - i 0.005
 0.013    -0.006 - i 0.011
 0.008     0.004 + i 0.007
 0.010     0.009 + i 0.006
 0.018     0.018 - i 0.002
 0.024     0.023 - i 0.008
 0.023     0.008 - i 0.022
 0.025    -0.012 - i 0.022
 0.021    -0.019 + i 0.009
 0.016     0.002 - i 0.016
 0.028    -0.022 + i 0.017
 0.019    -0.016 + i 0.009
 0.039    -0.039 - i 0.001
 0.011     0.010 - i 0.002
 0.003     0.003 + i 0.000
 0.020     0.020 + i 0.001
 0.006     0.006 - i 0.000
 0.037     0.026 + i 0.026
 0.044     0.038 + i 0.023
 0.042     0.006 + i 0.042
 0.035     0.022 + i 0.027
 0.034    -0.032 - i 0.010
 0.004    -0.004 - i 0.001
 0.026    -0.013 - i 0.023
 0.025     0.016 + i 0.020
 0.037     0.034 + i 0.014
 0.037     0.033 + i 0.018
 0.023     0.014 - i 0.017
 0.011     0.011 - i 0.001
 0.005     0.005 - i 0.000
 0.020     0.011 - i 0.017
 0.014     0.004 + i 0.014
 0.019    -0.014 - i 0.012
 0.013    -0.011 - i 0.007
 0.035     0.022 - i 0.027
 0.038     0.016 - i 0.035
 0.019    -0.008 - i 0.017
 0.018    -0.014 - i 0.011
 0.022    -0.020 - i 0.011
 0.010     0.007 + i 0.007
 0.016     0.001 + i 0.016
 0.012    -0.008 + i 0.008
 0.004    -0.004 + i 0.001
 0.022     0.014 - i 0.017
 0.022    -0.008 - i 0.021
 0.030    -0.028 - i 0.011
 0.004    -0.003 + i 0.003
 0.014    -0.013 - i 0.003
 0.015    -0.010 + i 0.011
 0.014    -0.006 + i 0.012
 0.032    -0.014 + i 0.029
 0.052     0.007 + i 0.052
 0.054     0.016 + i 0.051
 0.031    -0.028 + i 0.013
 0.018     0.006 - i 0.017
 0.039    -0.024 - i 0.030
 0.035    -0.008 - i 0.034
 0.008    -0.006 - i 0.006
 0.014     0.013 - i 0.006
 0.004     0.004 + i 0.001
 0.028     0.027 + i 0.009
 0.028    -0.028 + i 0.004
 0.033    -0.033 + i 0.006
 0.023    -0.014 + i 0.018
 0.020    -0.002 + i 0.020
 0.027    -0.014 + i 0.023
 0.010    -0.006 + i 0.008
 0.034    -0.031 - i 0.014
 0.021    -0.016 - i 0.014
 0.021    -0.017 - i 0.013
 0.032    -0.026 + i 0.019
 0.017    -0.006 - i 0.016
 0.011     0.004 + i 0.010
 0.036    -0.032 - i 0.016
 0.017    -0.016 - i 0.003
 0.010     0.003 - i 0.010
 0.023     0.002 + i 0.023
 0.030     0.024 + i 0.019
 0.014     0.012 + i 0.007
 0.018     0.017 - i 0.007
 0.059     0.057 - i 0.015
 0.007     0.007 + i 0.001
 0.012    -0.010 - i 0.006
 0.037    -0.019 + i 0.032
 0.027     0.027 - i 0.001
 0.016    -0.008 + i 0.014
 0.036     0.030 + i 0.019
 0.021    -0.005 + i 0.020
 0.084     0.053 + i 0.065
 0.080     0.058 + i 0.055
 0.039     0.020 + i 0.033
 0.020     0.019 - i 0.004
 0.030     0.020 - i 0.022
 0.052     0.046 - i 0.026
 0.035     0.020 - i 0.028
 0.058     0.033 - i 0.047
 0.017    -0.016 - i 0.006
 0.015    -0.009 + i 0.013
 0.018     0.007 + i 0.017
 0.014     0.013 + i 0.006
 0.016     0.016 + i 0.003
 0.013     0.009 - i 0.009
 0.056    -0.055 + i 0.010
 0.029    -0.021 - i 0.021
 0.011    -0.010 - i 0.005
 0.022     0.014 - i 0.017
 0.013    -0.011 + i 0.007
 0.058    -0.058 + i 0.000
 0.051    -0.046 + i 0.022
 0.068    -0.061 + i 0.029
 0.064    -0.056 + i 0.032
 0.083    -0.076 + i 0.034
 0.060    -0.056 - i 0.022
 0.057    -0.026 - i 0.051
 0.025     0.009 - i 0.023
 0.014     0.012 - i 0.007
 0.054     0.039 + i 0.037
 0.116     0.020 + i 0.114
 0.064     0.059 + i 0.024
 0.049     0.044 - i 0.023
 0.067     0.049 - i 0.046
 0.049     0.015 - i 0.047
 0.041    -0.041 + i 0.004
 0.055    -0.030 + i 0.046
 0.023    -0.022 + i 0.008
 0.027     0.026 + i 0.008
 0.016     0.016 + i 0.000
 0.031     0.031 - i 0.000
 0.030     0.017 + i 0.024
 0.038     0.029 - i 0.025
 0.043     0.025 - i 0.035
 0.042    -0.030 + i 0.029
 0.070    -0.032 + i 0.062
 0.056    -0.047 + i 0.030
 0.035     0.010 + i 0.034
 0.015     0.012 - i 0.010
 0.008    -0.004 + i 0.007
 0.068    -0.013 + i 0.066
 0.032    -0.016 + i 0.027
 0.038     0.011 + i 0.037
 0.048    -0.038 + i 0.029
 0.046    -0.046 + i 0.001
 0.035    -0.018 + i 0.030
 0.112    -0.055 + i 0.098
 0.093    -0.093 - i 0.002
 0.056    -0.056 - i 0.004
 0.058    -0.052 - i 0.026
 0.020    -0.019 - i 0.005
 0.057    -0.054 + i 0.017
 0.043    -0.043 - i 0.007
 0.044    -0.026 - i 0.035
 0.081    -0.066 + i 0.047
 0.063    -0.059 + i 0.023
 0.091    -0.063 - i 0.067
 0.071    -0.065 - i 0.030
 0.058    -0.020 - i 0.054
 0.081    -0.079 - i 0.014
 0.010    -0.010 - i 0.001
 0.034    -0.032 + i 0.011
 0.049    -0.003 - i 0.049
 0.024    -0.010 + i 0.021
 0.080     0.069 - i 0.041
 0.112     0.106 - i 0.037
 0.109     0.106 - i 0.029
 0.078     0.034 - i 0.070
 0.054    -0.002 - i 0.054
 0.067     0.006 - i 0.067
 0.112     0.031 - i 0.108
 0.038    -0.014 - i 0.035
 0.037    -0.020 + i 0.031
 0.032     0.023 + i 0.023
 0.099     0.033 + i 0.094
 0.027     0.015 + i 0.022
 0.051    -0.042 - i 0.028
 0.081     0.039 - i 0.072
 0.059     0.059 + i 0.004
 0.081     0.081 - i 0.011
 0.101     0.010 + i 0.100
 0.056     0.002 + i 0.056
 0.133     0.084 + i 0.103
 0.050     0.025 + i 0.043
 0.143     0.103 + i 0.099
 0.156     0.014 + i 0.156
 0.235     0.080 + i 0.221
 0.151     0.032 + i 0.148
 0.087    -0.029 + i 0.082
 0.068    -0.031 + i 0.060
 0.068     0.054 + i 0.042
 0.080    -0.015 + i 0.078
 0.122     0.081 + i 0.091
 0.057     0.002 + i 0.057
 0.100    -0.062 + i 0.078
 0.096    -0.093 + i 0.024
 0.084    -0.050 - i 0.068
 0.169    -0.108 - i 0.129
 0.106     0.059 - i 0.088
 0.078     0.077 + i 0.013
 0.164    -0.040 + i 0.159
 0.115    -0.040 + i 0.108
 0.203    -0.187 + i 0.079
 0.182    -0.173 - i 0.056
 0.077    -0.076 + i 0.009
 0.090    -0.090 - i 0.002
 0.034    -0.014 - i 0.031
 0.114     0.019 - i 0.112
